minute,outside_temp_c,outside_rh,outside_reference_wind_speed_m_s,outside_local_wind_speed_m_s,outside_wind_direction_deg,outside_co2_ppm,outside_direct_radiation_w_m2,outside_diffuse_radiation_w_m2,inside_temp_c,inside_rh,total_airflow_m3_s,average_airflow_m3_s,heater_gain_w,envelope_loss_w,ventilation_loss_w,damper_power_w,fan_power_w,heater_power_w,damper_resource_rate_per_hour,fan_resource_rate_per_hour,heater_resource_rate_per_hour
210,-10,0.8,4,3.48633,270,420,150,50,81.3147,0.0151517,0.0412158,0.0382106,35000,-34933.3,-4420.19,0,0,35000,0,0,35
211,-10,0.8,4,3.48633,270,420,150,50,81.3207,0.015127,0.0412171,0.0382247,35000,-34935.7,-4420.58,0,0,35000,0,0,35
212,-10,0.8,4,3.48633,270,420,150,50,81.3266,0.0151024,0.0412182,0.0382388,35000,-34937.9,-4420.97,0,0,35000,0,0,35
213,-10,0.8,4,3.48633,270,420,150,50,81.3324,0.015078,0.0412194,0.0382527,35000,-34940.1,-4421.34,0,0,35000,0,0,35
214,-10,0.8,4,3.48633,270,420,150,50,81.338,0.0150538,0.0412205,0.0382665,35000,-34942.3,-4421.7,0,0,35000,0,0,35
215,-10,0.8,4,3.48633,270,420,150,50,81.3434,0.0150297,0.0412216,0.0382802,35000,-34944.3,-4422.05,0,0,35000,0,0,35
216,-10,0.8,4,3.48633,270,420,150,50,81.3487,0.0150058,0.0412227,0.0382938,35000,-34946.3,-4422.39,0,0,35000,0,0,35
217,-10,0.8,4,3.48633,270,420,150,50,81.3538,0.0149821,0.0412237,0.0383072,35000,-34948.3,-4422.72,0,0,35000,0,0,35
218,-10,0.8,4,3.48633,270,420,150,50,81.3588,0.0149585,0.0412247,0.0383205,35000,-34950.2,-4423.05,0,0,35000,0,0,35
219,-10,0.8,4,3.48633,270,420,150,50,81.3636,0.014935,0.0412257,0.0383337,35000,-34952.1,-4423.36,0,0,35000,0,0,35
220,-10,0.8,4,3.48633,270,420,150,50,81.3683,0.0149118,0.0412267,0.0383468,35000,-34953.9,-4423.66,0,0,35000,0,0,35
221,-10,0.8,4,3.48633,270,420,150,50,81.3729,0.0148886,0.0412276,0.0383598,35000,-34955.6,-4423.96,0,0,35000,0,0,35
222,-10,0.8,4,3.48633,270,420,150,50,81.3773,0.0148656,0.0412285,0.0383727,35000,-34957.3,-4424.25,0,0,35000,0,0,35
223,-10,0.8,4,3.48633,270,420,150,50,81.3817,0.0148428,0.0412294,0.0383854,35000,-34959,-4424.53,0,0,35000,0,0,35
224,-10,0.8,4,3.48633,270,420,150,50,81.3859,0.0148201,0.0412302,0.0383981,35000,-34960.6,-4424.8,0,0,35000,0,0,35
225,-10,0.8,4,3.48633,270,420,150,50,81.39,0.0147975,0.041231,0.0384106,35000,-34962.1,-4425.07,0,0,35000,0,0,35
226,-10,0.8,4,3.48633,270,420,150,50,81.3939,0.0147751,0.0412318,0.038423,35000,-34963.7,-4425.32,0,0,35000,0,0,35
227,-10,0.8,4,3.48633,270,420,150,50,81.3978,0.0147528,0.0412326,0.0384354,35000,-34965.1,-4425.57,0,0,35000,0,0,35
