minute,outside_temp_c,outside_rh,outside_reference_wind_speed_m_s,outside_local_wind_speed_m_s,outside_wind_direction_deg,outside_co2_ppm,outside_direct_radiation_w_m2,outside_diffuse_radiation_w_m2,inside_temp_c,inside_rh,total_airflow_m3_s,average_airflow_m3_s,heater_gain_w,envelope_loss_w,ventilation_loss_w,damper_power_w,fan_power_w,heater_power_w,damper_resource_rate_per_hour,fan_resource_rate_per_hour,heater_resource_rate_per_hour
253,35,0.8,4,3.48633,270,420,150,50,43.6726,0.447273,0.114059,0.110872,0,-3317.77,-1123.2,0,315,0,0,0.315,0
254,35,0.8,4,3.48633,270,420,150,50,43.6731,0.447731,0.11406,0.110885,0,-3317.98,-1123.27,0,315,0,0,0.315,0
255,35,0.8,4,3.48633,270,420,150,50,43.6736,0.448185,0.11406,0.110897,0,-3318.19,-1123.35,0,315,0,0,0.315,0
256,35,0.8,4,3.48633,270,420,150,50,43.6742,0.448637,0.114061,0.11091,0,-3318.39,-1123.42,0,315,0,0,0.315,0
257,35,0.8,4,3.48633,270,420,150,50,43.6747,0.449085,0.114061,0.110922,0,-3318.58,-1123.49,0,315,0,0,0.315,0
258,35,0.8,4,3.48633,270,420,150,50,43.6751,0.44953,0.114062,0.110934,0,-3318.76,-1123.55,0,315,0,0,0.315,0
259,35,0.8,4,3.48633,270,420,150,50,43.6756,0.449972,0.114063,0.110946,0,-3318.94,-1123.62,0,315,0,0,0.315,0
260,35,0.8,4,3.48633,270,420,150,50,43.6761,0.450411,0.114063,0.110958,0,-3319.12,-1123.68,0,315,0,0,0.315,0
261,35,0.8,4,3.48633,270,420,150,50,43.6765,0.450847,0.114063,0.11097,0,-3319.29,-1123.74,0,315,0,0,0.315,0
262,35,0.8,4,3.48633,270,420,150,50,43.677,0.45128,0.114064,0.110982,0,-3319.46,-1123.8,0,315,0,0,0.315,0
263,35,0.8,4,3.48633,270,420,150,50,43.6774,0.45171,0.114064,0.110993,0,-3319.62,-1123.86,0,315,0,0,0.315,0
264,35,0.8,4,3.48633,270,420,150,50,43.6778,0.452136,0.114065,0.111005,0,-3319.77,-1123.92,0,315,0,0,0.315,0
265,35,0.8,4,3.48633,270,420,150,50,43.6782,0.45256,0.114065,0.111016,0,-3319.93,-1123.97,0,315,0,0,0.315,0
266,35,0.8,4,3.48633,270,420,150,50,43.6786,0.452981,0.114066,0.111028,0,-3320.07,-1124.03,0,315,0,0,0.315,0
267,35,0.8,4,3.48633,270,420,150,50,43.6789,0.453399,0.114066,0.111039,0,-3320.22,-1124.08,0,315,0,0,0.315,0
268,35,0.8,4,3.48633,270,420,150,50,43.6793,0.453814,0.114066,0.11105,0,-3320.35,-1124.13,0,315,0,0,0.315,0
269,35,0.8,4,3.48633,270,420,150,50,43.6797,0.454226,0.114067,0.111062,0,-3320.49,-1124.18,0,315,0,0,0.315,0
270,35,0.8,4,3.48633,270,420,150,50,43.68,0.454635,0.114067,0.111073,0,-3320.62,-1124.22,0,315,0,0,0.315,0
271,35,0.8,4,3.48633,270,420,150,50,43.6803,0.455041,0.114067,0.111084,0,-3320.75,-1124.27,0,315,0,0,0.315,0
272,35,0.8,4,3.48633,270,420,150,50,43.6807,0.455444,0.114068,0.111095,0,-3320.87,-1124.31,0,315,0,0,0.315,0
273,35,0.8,4,3.48633,270,420,150,50,43.681,0.455845,0.114068,0.111105,0,-3320.99,-1124.36,0,315,0,0,0.315,0
274,35,0.8,4,3.48633,270,420,150,50,43.6813,0.456242,0.114068,0.111116,0,-3321.11,-1124.4,0,315,0,0,0.315,0
275,35,0.8,4,3.48633,270,420,150,50,43.6816,0.456637,0.114069,0.111127,0,-3321.22,-1124.44,0,315,0,0,0.315,0
276,35,0.8,4,3.48633,270,420,150,50,43.6819,0.457029,0.114069,0.111138,0,-3321.33,-1124.48,0,315,0,0,0.315,0
277,35,0.8,4,3.48633,270,420,150,50,43.6821,0.457418,0.114069,0.111148,0,-3321.44,-1124.52,0,315,0,0,0.315,0
278,35,0.8,4,3.48633,270,420,150,50,43.6824,0.457805,0.11407,0.111159,0,-3321.54,-1124.56,0,315,0,0,0.315,0
279,35,0.8,4,3.48633,270,420,150,50,43.6827,0.458188,0.11407,0.111169,0,-3321.64,-1124.59,0,315,0,0,0.315,0
280,35,0.8,4,3.48633,270,420,150,50,43.6829,0.458569,0.11407,0.111179,0,-3321.74,-1124.63,0,315,0,0,0.315,0
281,35,0.8,4,3.48633,270,420,150,50,43.6832,0.458947,0.11407,0.11119,0,-3321.83,-1124.66,0,315,0,0,0.315,0
282,35,0.8,4,3.48633,270,420,150,50,43.6834,0.459323,0.114071,0.1112,0,-3321.92,-1124.69,0,315,0,0,0.315,0
283,35,0.8,4,3.48633,270,420,150,50,43.6836,0.459696,0.114071,0.11121,0,-3322.01,-1124.73,0,315,0,0,0.315,0
284,35,0.8,4,3.48633,270,420,150,50,43.6839,0.460066,0.114071,0.11122,0,-3322.1,-1124.76,0,315,0,0,0.315,0
285,35,0.8,4,3.48633,270,420,150,50,43.6841,0.460433,0.114071,0.11123,0,-3322.18,-1124.79,0,315,0,0,0.315,0
286,35,0.8,4,3.48633,270,420,150,50,43.6843,0.460798,0.114072,0.11124,0,-3322.26,-1124.82,0,315,0,0,0.315,0
